ID,模块,老师,标题,人性落点,文件
V01,资料分析,高照+fb,高照fb资料分析冲刺四节,捷径+倍速,变体 01 - 高照fb资料分析冲刺四节.md
V02,图推,花生十三+龙飞,花生十三龙飞图推融合版,融合版标志结构,变体 02 - 花生十三龙飞图推融合版.md
V03,数量关系,高照,高照20版数量关系特训,考前冲刺,变体 03 - 高照20版数量关系特训.md
V04,申论,钟君,钟君申论不炫技本质,反套路真实感,变体 04 - 钟君申论不炫技本质.md
V05,言语,郭熙,郭熙言语理解重点梳理,重点梳理降维,变体 05 - 郭熙言语理解重点梳理.md
V06,速算,周永冈,周永冈快速口算法,邪修/秒算,变体 06 - 周永冈快速口算法.md
V07,申论大作文,袁东,袁东申论大作文纯背版,纯背模板,变体 07 - 袁东申论大作文纯背版.md
V08,判断推理,杰伦哥,杰伦哥判断推理,口诀速通,变体 08 - 杰伦哥判断推理.md
V09,资料分析,花生十三,花生十三资料分析速成四节,速成捷径,变体 09 - 花生十三资料分析速成四节.md
V10,图推,蔡金龙,蔡老图推三节冲刺,三节开窍,变体 10 - 蔡金龙图推三节冲刺.md
V11,申论素材,老严,老严申论素材神书,一个顶N主题,变体 11 - 老严申论素材神书.md
V12,言语,葛欣,葛欣三节高频冲刺(辩论合成),辩论修复版,变体 12 - 言语理解葛欣三节冲刺（辩论合成版）.md
