分类,内容/标题,标签/说明,日期,来源
选题库,资料分析·花生十三速成四节,资料分析、速成、花生十三,2026-08-05,爆款公式九大矩阵
选题库,图形推理·蔡老三节冲刺,图推、三节、蔡金龙,2026-08-05,爆款公式九大矩阵
选题库,申论素材·老严神书(万精油),申论、素材、老严,2026-08-05,爆款公式九大矩阵
选题库,言语理解·葛欣三节高频冲刺,言语、三节、葛欣,2026-08-05,辩论合成变体12
选题库,判断推理·花生十三+程意融合版,判断、融合、双神,2026-08-05,爆款公式标志性结构
标题库,痛点+发现型,好多考公人 X 做题慢的原因找到了，就是 X 不熟啊,,
标题库,我去+错题型,我去，判断推理老是做不对题的！,,
标题库,资料分享型,我被考公的朋友分享了个 X,,
标题库,效率型,X 速成 / X 冲刺四节 / 几分钟就能刷完,,
标题库,融合版型⭐,融合了 X+X 两位 X 大佬的拿手绝活,,
标题库,大白话疑问型,之前有考公人问 X 有木有速成的捷径,,
标题库,答案互动型,封面右上角设问题，引用户评论『答案是什么』,,
封面模板库,大字报痛点型,橙色手写圈、🍑×5-8、👿,,
封面模板库,融合版双神型,绿色手写圈(去重)、真实书封面、🍑,,
封面模板库,设问互动型,右上角红圈设问、🐱真实猫、👿,,
封面模板库,神书发现型,真实书封面照片、🤓、黄色填充,,
钩子金句库,有木有速成的捷径,代理努力/捷径自我欺骗,,
钩子金句库,此时不刷更待何时啊喂👿,损失厌恶+稀缺,,
钩子金句库,不愧是考公人选出来的,社会证明/两级传播,,
钩子金句库,之前有考公人问言语有没有速成，我替你们认个怂,沉默解除/替受众认怂,,
钩子金句库,经典就是经典🍑,权威代理+群体共识,,
评论话术库,"{'id': 'A', '版本': '首评最常用(70%+)', '话术': '发出来就是要分享的，上面有群，已经上传了，这么干脆的分享留下你们的 3 连 走啊🙆🙆🙆🙆'}",首评最常用(70%+),,
评论话术库,"{'id': 'B', '版本': '群聊引流(50%+)', '话术': '☞群聊·是 無償 但请礼貌自取'}",群聊引流(50%+),,
评论话术库,"{'id': 'C', '版本': '催促互动', '话术': '怎么全是领的，没人支持下啊啊啊，评论区留下你们的三连啊啊啊🙆🙆🙆🙆'}",催促互动,,
评论话术库,"{'id': 'D', '版本': '直接说群新版', '话术': '废话说太多了，上面有群，已经上传了，自己申请。这么干脆直接的分享留下你们的 3 连 再走啊啊啊🙆🙆🙆🙆'}",直接说群新版,,
评论话术库,"{'id': 'E', '版本': '答案互动型', '话术': '封面设问→用户评『答案是什么』→作者回『答案是好的（问题上就写了🙆）』+作者赞过'}",答案互动型,,
竞品对标库,别人分享『数量关系』纯干货长文不火,缺捷径钩子+低启动成本+表情包降维，像教材不像『说给我听的』,2026-08-05,
竞品对标库,同行『资料分析』用大段文字+无图,缺真实书封面/猫咪照等真实感元素，被判营销号,2026-08-05,
爆款档案,"{'id': 'V01', '模块': '资料分析', '老师': '高照+fb', '标题': '高照fb资料分析冲刺四节', '人性落点': '捷径+倍速', '文件': '变体 01 - 高照fb资料分析冲刺四节.md'}",,,
爆款档案,"{'id': 'V02', '模块': '图推', '老师': '花生十三+龙飞', '标题': '花生十三龙飞图推融合版', '人性落点': '融合版标志结构', '文件': '变体 02 - 花生十三龙飞图推融合版.md'}",,,
爆款档案,"{'id': 'V03', '模块': '数量关系', '老师': '高照', '标题': '高照20版数量关系特训', '人性落点': '考前冲刺', '文件': '变体 03 - 高照20版数量关系特训.md'}",,,
爆款档案,"{'id': 'V04', '模块': '申论', '老师': '钟君', '标题': '钟君申论不炫技本质', '人性落点': '反套路真实感', '文件': '变体 04 - 钟君申论不炫技本质.md'}",,,
爆款档案,"{'id': 'V05', '模块': '言语', '老师': '郭熙', '标题': '郭熙言语理解重点梳理', '人性落点': '重点梳理降维', '文件': '变体 05 - 郭熙言语理解重点梳理.md'}",,,
爆款档案,"{'id': 'V06', '模块': '速算', '老师': '周永冈', '标题': '周永冈快速口算法', '人性落点': '邪修/秒算', '文件': '变体 06 - 周永冈快速口算法.md'}",,,
爆款档案,"{'id': 'V07', '模块': '申论大作文', '老师': '袁东', '标题': '袁东申论大作文纯背版', '人性落点': '纯背模板', '文件': '变体 07 - 袁东申论大作文纯背版.md'}",,,
爆款档案,"{'id': 'V08', '模块': '判断推理', '老师': '杰伦哥', '标题': '杰伦哥判断推理', '人性落点': '口诀速通', '文件': '变体 08 - 杰伦哥判断推理.md'}",,,
爆款档案,"{'id': 'V09', '模块': '资料分析', '老师': '花生十三', '标题': '花生十三资料分析速成四节', '人性落点': '速成捷径', '文件': '变体 09 - 花生十三资料分析速成四节.md'}",,,
爆款档案,"{'id': 'V10', '模块': '图推', '老师': '蔡金龙', '标题': '蔡老图推三节冲刺', '人性落点': '三节开窍', '文件': '变体 10 - 蔡金龙图推三节冲刺.md'}",,,
爆款档案,"{'id': 'V11', '模块': '申论素材', '老师': '老严', '标题': '老严申论素材神书', '人性落点': '一个顶N主题', '文件': '变体 11 - 老严申论素材神书.md'}",,,
爆款档案,"{'id': 'V12', '模块': '言语', '老师': '葛欣', '标题': '葛欣三节高频冲刺(辩论合成)', '人性落点': '辩论修复版', '文件': '变体 12 - 言语理解葛欣三节冲刺（辩论合成版）.md'}",,,
人设声音档案,上岸（重新起航版）,,,
热点日历,国考公告/报名,提前2周铺资料分析+申论素材,,
热点日历,省考笔试,考前1月冲『速成/冲刺四节』钩子,,
热点日历,事业单位联考,通用公考干货轮换,,
违规限流案例库,旧号因笔记出现『网盘/夸克/加群』被限流，爆款截图数字全失效,笔记正文绝不明写敏感词，改用『群聊·無償』暗号,2026-08-04,
违规限流案例库,「無償」异体字经Unicode归一化即『无偿』，规避动作本身加风控分,降暗号密度，正文补足真实干货降低营销号判定,2026-08-05,
