被别人提问/提要求时，第一反应该怎么做？	先闭嘴停顿3秒，再回。不立刻回应显急、显稳。
为什么"大方拒绝"时要少解释？	过度解释反而让你变成"错的一方"；原因简洁，拒绝不是你的错。
唯唯诺诺的三条根因？	怕被否定 + 自我价值感偏低 + 社交 reps 少。
练"停顿3秒"先从什么场景开始？	低风险场景（便利店/外卖员/陌生群聊），稳了再上领导/家人。
遇到想跟风的新念头，先问自己什么？	这事服务我的主线吗？不服务→标记噪声，可不做。
"生活主线"的本质是什么？	现阶段最想成的事，是做减法的决策过滤器，不是固定答案，允许随阶段调整。
面对"所有钱只给自己花"这类绝对化建议怎么处理？	打折扣，别照单全收；情绪化口号不普适。
提高行动力的核心办法是什么？	让大脑不停做决策，平均每分钟逼自己做一个小决定，打断"刷手机+麻木"状态。
微决策为什么比立大目标管用？	颗粒度小到不用意志力就能动，避免大决定瘫痪。
自律三原则是什么？	①学事物运作规律 ②立即行动从小事培养 ③不走捷径坚持正确道路。
三原则里最易被跳过的是哪条？	②立即行动——总想先学够再动，结果一直不动。
什么才是真正让人精疲力尽的事？	"犹豫要不要做"——只有犹豫最耗人，做完反而是解放。
犹豫时第一步该做什么？	直接做最小一步（写一句话/发一条消息），不追求完整。
"脸面"的核心重定义是什么？	脸面是筹码不是枷锁；穷人最好拿它变现，富人只认利益愿拉下脸。
遇到"拉不下脸"场景怎么用这卡？	问：保面子划算还是拿结果划算？选结果就去做。
"烦恼是投射"是什么意思？	很多烦恼不是客观事实，是你意识的投射、钻牛角尖。
焦虑上头时怎么用烦恼投射卡？	写两栏："困扰我的事"vs"客观发生的事"，往往差很多。
亚古兽第一个进化在说什么？	用勇气开道——行动前先鼓勇气，行动优先于完美准备。
巴达兽最后进化在说什么？	被现实击碎后仍充满希望——低谷守住希望。
"真正的重生"指什么？	不是离开旧地方，而是让旧地方看见新的你。
想逃离环境时怎么用原地重生卡？	先试30天在原地做出新状态，再决定走不走。
"等以后"的陷阱是什么？	没有未来，生活就在当下；等以后=把行动推给虚构的未来自我。
活在当下卡为什么是行动+看开的桥？	既是别拖延（行动），也是别执念未来（看开）。
"反着做标题"的套路是什么？	把"教你做X"翻成"如何搞砸X（反着做）"，用反差勾好奇。
为什么反向framing点击高？	制造认知反差→触发好奇→点开看到底怎么说。
内容被转发的两条件？	①有价值值得传播 ②要么和"我"有关，要么和我分享的人有关。
VERITAS实验的关键动作是什么？	引导读者想"这条和自己的关系"并说一句影响，转发意愿上升。
